"","encoding","file","scenario","size","anomaly","impact","overlapping.F1.mean","overlapping.F1.sd","overlapping.F1v.mean","overlapping.F1v.sd","overlapping.F2.mean","overlapping.F2.sd","overlapping.F3.mean","overlapping.F3.sd","overlapping.F4.mean","overlapping.F4.sd","neighborhood.N1","neighborhood.N2.mean","neighborhood.N2.sd","neighborhood.N3.mean","neighborhood.N3.sd","neighborhood.N4.mean","neighborhood.N4.sd","neighborhood.T1.mean","neighborhood.T1.sd","neighborhood.LSC","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L2.sd","linearity.L3.mean","linearity.L3.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4","balance.C1","balance.C2","network.Density","network.ClsCoef","network.Hubs.mean","network.Hubs.sd"
"2","countervectorizer","scenario1_1000_all_0.05.csv","scenario1","1000","all","0.05","0.929791289509995","0.0632263749021248","0.397513427796886","0.228679068757602","0","0","0.847434522079988","0.0885961423343457","0.2425806392291","0.395020208947646","0.943","0.249032738095238","0.354243089137369","0.12","0.325124138915747","0.032","0.176088066055048","8.90774125132556e-05","0.00186330001337971","0.996724","0.035676956075302","0.0770699425854681","0.0808263090994732","0.124039081290382","0.055945407623493","0.112899038021636","0.046","0.005","0.108695652173913","0.164958792735493","0.928425430710518","0.969221221221221","0.469922738301685","0.817003625656067","0.342493924829076"
"4","countervectorizer","scenario1_1000_all_0.1.csv","scenario1","1000","all","0.1","0.933831866416601","0.0679912065175515","0.315771808158389","0.332702688509307","0","0","0.900145019094292","0.0634799017986892","0.290371698053286","0.409916539628936","0.992","0.275431034482759","0.325575291365637","0.088","0.283436653127884","0.04","0.196057232558349","0.000121114683815648","0.00198148999967392","0.996332","0.0526580708021569","0.0908068175452696","0.108533835550344","0.139691072717072","0.0869046308205401","0.142939472931409","0.042","0.006","0.142857142857143","0.258699915901853","0.871819181463779","0.969283283283283","0.486678990718072","0.816719698919281","0.340030171140399"
"6","countervectorizer","scenario1_1000_all_0.15.csv","scenario1","1000","all","0.15","0.953212078377814","0.0510827648548546","0.29186218529939","0.328692546307966","0.0476190476190476","0.218217890235992","0.902907820300788","0.0582898281839513","0.270592329512546","0.43910162585802","0.987","0.299506802721088","0.322117313235779","0.118","0.322769546550136","0.113","0.316751213622507","0.000148268398268398","0.00194470897299299","0.996523","0.0456293975940744","0.0894191625565681","0.0906620008066615","0.129384926517008","0.0712764949013575","0.156186988496007","0.062","0.007","0.112903225806452","0.343633403459177","0.808493917080773","0.975453453453453","0.578261187293975","0.829344474515764","0.338811131413848"
"8","countervectorizer","scenario1_1000_all_0.2.csv","scenario1","1000","all","0.2","0.952528560145688","0.0561484296837238","0.322864148955388","0.33229553461439","0.0952380952380952","0.300792603759119","0.91392617419413","0.0638691555873221","0.274485705932342","0.444982585231404","0.978","0.504439484126984","0.245304786851544","0.165","0.37136627864268","0.102","0.302799748493435","9.63114754098361e-05","0.000437881521631284","0.999853","0.0442647352665358","0.0830722764103259","0.0715038324381803","0.121108232849961","0.058320613508633","0.122023408610551","0.061","0.007","0.114754098360656","0.431578717787399","0.730559765087759","0.978876876876877","0.535255186874933","0.865657816099319","0.284431749868825"
"10","countervectorizer","scenario1_1000_attribute_0.05.csv","scenario1","1000","attribute","0.05","0.99973904254605","0.000157347795896062","0.964590271932333",NA,"1",NA,"1",NA,"1",NA,"0.098",NA,NA,"0.037","0.188856206322871","0.049","0.215976030257169","1e-06","3.16227766016838e-05","1","0.0356798457087752",NA,"0.037",NA,"0.041",NA,"0.022","0.005","0.227272727272727","0.228364025840565","0.923270071860955","0.967401401401401","0.523968989915191","0.820082407818721","0.320729900279104"
"12","countervectorizer","scenario1_1000_attribute_0.1.csv","scenario1","1000","attribute","0.1","0.999026858864754","0.00188455618402782","0.90121956394812",NA,"1",NA,"1",NA,"1",NA,"0.284","1",NA,"0.111","0.314289321768618","0.118","0.322769546550136","1e-06","3.16227766016838e-05","1","0.0999099909990999",NA,"0.111",NA,"0.103",NA,"0.022","0.005","0.227272727272727","0.50292491124756","0.754114536742408","0.974966966966967","0.452629365456358","0.83466554559815","0.333799349963385"
"14","countervectorizer","scenario1_1000_attribute_0.15.csv","scenario1","1000","attribute","0.15","0.999733887848884","0.000330975746475144","0.979872867240666",NA,"1",NA,"1",NA,"1",NA,"0.341",NA,NA,"0.148","0.355277669185979","0.135","0.341894562536306","1e-06","3.16227766016838e-05","1","0.128919860627178",NA,"0.148",NA,"0.153",NA,"0.022","0.005","0.227272727272727","0.604812590116588","0.662758355085797","0.975149149149149","0.449283869827461","0.836207026371033","0.333442577479586"
"16","countervectorizer","scenario1_1000_attribute_0.2.csv","scenario1","1000","attribute","0.2","0.996032863753012","0.0018552568408123","0.879737287591887",NA,"1",NA,"1",NA,"1",NA,"0.385",NA,NA,"0.4","0.490143081395872","0.407","0.491520693961701","1e-06","3.16227766016838e-05","1","0.149659863945578",NA,"0.176",NA,"0.182",NA,"0.022","0.005","0.227272727272727","0.671247885382951","0.591454070134319","0.977395395395395","0.481216750656806","0.85170998024126","0.309603583055278"
"18","countervectorizer","scenario1_1000_early_0.05.csv","scenario1","1000","early","0.05","0.997963148159917","0.00296339129860446","0.76785716436334",NA,"1",NA,"1",NA,"1",NA,"0.152",NA,NA,"0.057","0.231958627355839","0.052","0.222138122224316","1e-06","3.16227766016838e-05","1","0.0539262062440869",NA,"0.0570000000000001",NA,"0.0649999999999999",NA,"0.022","0.005","0.227272727272727","0.315419088938081","0.87954930991442","0.973031031031031","0.47784236738075","0.836264016240358","0.318575465169754"
"20","countervectorizer","scenario1_1000_early_0.1.csv","scenario1","1000","early","0.1","0.998427027736227","0.00119319799177445","0.929609143081521",NA,"1",NA,"1",NA,"1",NA,"0.248",NA,NA,"0.31","0.462724663395106","0.146","0.353282901948012","1e-06","3.16227766016838e-05","1","0.0999099909990999",NA,"0.111",NA,"0.102",NA,"0.022","0.005","0.227272727272727","0.50292491124756","0.754114536742408","0.97162962962963","0.504455694810963","0.827666106867111","0.32673334380099"
"22","countervectorizer","scenario1_1000_early_0.15.csv","scenario1","1000","early","0.15","0.999660463288114","0.000420996598312927","0.978438921986414",NA,"1",NA,"1",NA,"1",NA,"0.423",NA,NA,"0.155","0.362085771753194","0.34","0.47394580346768","1e-06","3.16227766016838e-05","1","0.134199134199134",NA,"0.155",NA,"0.159",NA,"0.022","0.005","0.227272727272727","0.622212638006313","0.645078246731251","0.975963963963964","0.484402442257348","0.84238439373322","0.31979087558157"
"24","countervectorizer","scenario1_1000_early_0.2.csv","scenario1","1000","early","0.2","0.999620854565538","0.000413541701533287","0.976598999699532",NA,"1",NA,"1",NA,"1",NA,"0.384",NA,NA,"0.175","0.380157229997694","0.201","0.400948574956639","1e-06","3.16227766016838e-05","1","0.148936170212766",NA,"0.175",NA,"0.172",NA,"0.022","0.005","0.227272727272727","0.669015835056558","0.59402460456942","0.977907907907908","0.468959402438597","0.852792100719224","0.310352337050699"
"26","countervectorizer","scenario1_1000_insert_0.05.csv","scenario1","1000","insert","0.05","0.981339410504462","0.00814159592733984","0.221652690697047",NA,"0",NA,"0.945",NA,"0",NA,"0.889","0.0274380952380952","0.129874455968403","0.043","0.202958597236462","0","0","0.0212765957446809","0.0672777184278329","0.802249","9.95784221746732e-09",NA,"0.001",NA,"0",NA,"0.092","0.006","0.0652173913043478","0.25588191564677","0.910316901638665","0.968094094094094","0.454806011228315","0.810570409438216","0.352245900848055"
"28","countervectorizer","scenario1_1000_insert_0.1.csv","scenario1","1000","insert","0.1","0.990909559598804","0.0019636468855796","0.357040177332483",NA,"0",NA,"0.999",NA,"0",NA,"0.947","0.0593595238095238","0.184811714663003","0.094","0.291974740772638","0","0","0.0099009900990099","0.0396011375974214","0.833274","1.82177481944379e-06",NA,"0.00700000000000001",NA,"0.003",NA,"0.178","0.021","0.117977528089888","0.4496822131225","0.79470441331032","0.969667667667668","0.450180154730096","0.816191385179831","0.348573186571224"
"30","countervectorizer","scenario1_1000_insert_0.15.csv","scenario1","1000","insert","0.15","0.994283164364486","0.00102319509580767","0.516237082439297",NA,"0",NA,"0.999",NA,"0",NA,"1","0.0913142857142857","0.223209641764933","0.144","0.351265408754388","0","0","0.00662251655629139","0.0304317250517404","0.854464","0",NA,"0",NA,"0",NA,"0.246","0.051","0.207317073170732","0.594619344095012","0.672810668478723","0.97023023023023","0.457455815430204","0.820197750379278","0.342148733026573"
