case,activity,timestamp,actor,resource,label,description
0,Activity A,2020/06/14 23:47:26.293,Carrie,60,normal,normal case
0,Activity C,2020/06/14 23:49:26.293,Caitlin,50,normal,normal case
0,Activity S,2020/06/14 23:50:26.293,Zach,60,normal,normal case
0,Activity J,2020/06/14 23:51:26.293,Carla,20,normal,normal case
0,Activity T,2020/06/14 23:52:26.293,Will,60,normal,normal case
0,Activity D,2020/06/14 23:53:26.293,Seth,50,normal,normal case
0,Activity U,2020/06/14 23:54:26.293,Vanessa,50,normal,normal case
0,Activity V,2020/06/14 23:55:26.293,Sam,60,normal,normal case
0,Activity B,2020/06/14 23:57:26.293,Ryan,40,normal,normal case
1,Activity A,2020/06/15 00:22:11.524,Brian,60,normal,normal case
1,Activity S,2020/06/15 00:24:11.524,Ben,60,normal,normal case
1,Activity C,2020/06/15 00:25:11.524,Paul,50,normal,normal case
1,Activity T,2020/06/15 00:26:11.524,Harry,60,normal,normal case
1,Activity J,2020/06/15 00:27:11.524,Sam,50,normal,normal case
1,Activity U,2020/06/15 00:28:11.524,Vanessa,40,normal,normal case
1,Activity D,2020/06/15 00:29:11.524,Junior,50,normal,normal case
1,Activity V,2020/06/15 00:30:11.524,Carrie,60,normal,normal case
1,Activity B,2020/06/15 00:32:11.524,Will,40,normal,normal case
2,Activity A,2020/06/15 01:37:02.674,Brian,60,normal,normal case
2,Activity S,2020/06/15 01:39:02.674,Paul,60,normal,normal case
2,Activity T,2020/06/15 01:40:02.674,Seth,60,normal,normal case
2,Activity U,2020/06/15 01:41:02.674,Kate,40,normal,normal case
2,Activity V,2020/06/15 01:42:02.674,Carrie,60,normal,normal case
2,Activity C,2020/06/15 01:43:02.674,Caitlin,50,normal,normal case
2,Activity M,2020/06/15 01:44:02.674,Elizabeth,80,normal,normal case
2,Activity Q,2020/06/15 01:45:02.674,Barry,20,normal,normal case
2,Activity N,2020/06/15 01:46:02.674,Philip,70,normal,normal case
2,Activity D,2020/06/15 01:47:02.674,Seth,50,normal,normal case
2,Activity B,2020/06/15 01:49:02.674,Ryan,40,normal,normal case
3,Activity A,2020/06/15 02:10:40.406,Drew,60,normal,normal case
3,Activity C,2020/06/15 02:12:40.406,Paul,50,normal,normal case
3,Activity M,2020/06/15 02:13:40.406,Junior,80,normal,normal case
3,Activity Q,2020/06/15 02:14:40.406,Barry,20,normal,normal case
3,Activity N,2020/06/15 02:15:40.406,Quentin,70,normal,normal case
3,Activity D,2020/06/15 02:16:40.406,Seth,50,normal,normal case
3,Activity S,2020/06/15 02:17:40.406,Roy,60,normal,normal case
3,Activity T,2020/06/15 02:18:40.406,Harry,60,normal,normal case
3,Activity U,2020/06/15 02:19:40.406,Ben,60,normal,normal case
3,Activity V,2020/06/15 02:20:40.406,Sam,90,normal,normal case
3,Activity B,2020/06/15 02:22:40.406,Will,40,normal,normal case
4,Activity A,2020/06/15 03:06:43.243,Drew,60,normal,normal case
4,Activity C,2020/06/15 03:08:43.243,Paul,70,normal,normal case
4,Activity M,2020/06/15 03:09:43.243,Wayne,80,normal,normal case
4,Activity R,2020/06/15 03:10:43.243,Lewis,30,normal,normal case
4,Activity S,2020/06/15 03:11:43.243,Paul,60,normal,normal case
4,Activity N,2020/06/15 03:12:43.243,Philip,20,normal,normal case
4,Activity D,2020/06/15 03:13:43.243,Seth,50,normal,normal case
4,Activity T,2020/06/15 03:14:43.243,Seth,60,normal,normal case
4,Activity U,2020/06/15 03:15:43.243,Ben,40,normal,normal case
4,Activity V,2020/06/15 03:16:43.243,Sam,90,normal,normal case
4,Activity B,2020/06/15 03:18:43.243,Will,40,normal,normal case
5,Activity A,2020/06/15 03:31:59.964,Drew,60,normal,normal case
5,Activity C,2020/06/15 03:33:59.964,Caitlin,50,normal,normal case
5,Activity K,2020/06/15 03:34:59.964,Carla,20,normal,normal case
5,Activity S,2020/06/15 03:35:59.964,Roy,30,normal,normal case
5,Activity L,2020/06/15 03:36:59.964,Jack,60,normal,normal case
5,Activity T,2020/06/15 03:37:59.964,Ed,60,normal,normal case
5,Activity D,2020/06/15 03:38:59.964,Junior,50,normal,normal case
5,Activity U,2020/06/15 03:39:59.964,Nicholas,50,normal,normal case
5,Activity V,2020/06/15 03:40:59.964,Sam,90,normal,normal case
5,Activity B,2020/06/15 03:42:59.964,Victoria,40,normal,normal case
6,Random Activity 1,2020/06/15 04:49:58.605,Random Actor 1,20,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Activity A,2020/06/15 04:51:58.605,Drew,60,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Activity S,2020/06/15 04:52:58.605,Ben,30,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Activity T,2020/06/15 04:53:58.605,Will,60,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Activity U,2020/06/15 04:54:58.605,Nicholas,40,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Random Activity 3,2020/06/15 04:55:58.605,Random Actor 3,30,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Random Activity 2,2020/06/15 04:56:58.605,Random Actor 2,10,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Activity C,2020/06/15 04:57:58.605,Paul,70,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Activity V,2020/06/15 04:59:58.605,Sam,20,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Activity J,2020/06/15 05:00:58.605,Carla,50,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Activity D,2020/06/15 05:01:58.605,Seth,50,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
6,Activity B,2020/06/15 05:02:58.605,Will,40,insert,"Activities ['Random Activity 1', 'Random Activity 2', 'Random Activity 3'] inserted in random positions"
7,Activity A,2020/06/15 06:55:30.292,Drew,60,normal,normal case
7,Activity S,2020/06/15 06:57:30.292,Zach,60,normal,normal case
7,Activity T,2020/06/15 06:58:30.292,Seth,60,normal,normal case
7,Activity U,2020/06/15 06:59:30.292,Ben,50,normal,normal case
7,Activity V,2020/06/15 07:00:30.292,Sam,20,normal,normal case
7,Activity C,2020/06/15 07:01:30.292,Caitlin,70,normal,normal case
7,Activity J,2020/06/15 07:02:30.292,Carla,90,normal,normal case
7,Activity D,2020/06/15 07:03:30.292,Seth,50,normal,normal case
7,Activity B,2020/06/15 07:05:30.292,Adam,40,normal,normal case
8,Activity A,2020/06/15 07:19:41.262,Carrie,60,normal,normal case
8,Activity C,2020/06/15 07:21:41.262,Paul,50,normal,normal case
8,Activity K,2020/06/15 07:22:41.262,Natalie,20,normal,normal case
8,Activity L,2020/06/15 07:23:41.262,Junior,40,normal,normal case
8,Activity D,2020/06/15 07:24:41.262,Junior,50,normal,normal case
8,Activity S,2020/06/15 07:25:41.262,Roy,30,normal,normal case
8,Activity T,2020/06/15 07:26:41.262,Will,60,normal,normal case
8,Activity U,2020/06/15 07:27:41.262,Vanessa,60,normal,normal case
8,Activity V,2020/06/15 07:28:41.262,Sam,90,normal,normal case
8,Activity B,2020/06/15 07:30:41.262,Ryan,40,normal,normal case
9,Activity A,2020/06/15 07:19:56.681,Roy,60,normal,normal case
9,Activity C,2020/06/15 07:21:56.681,Caitlin,50,normal,normal case
9,Activity J,2020/06/15 07:22:56.681,Carla,90,normal,normal case
9,Activity S,2020/06/15 07:23:56.681,Zach,30,normal,normal case
9,Activity T,2020/06/15 07:24:56.681,Seth,60,normal,normal case
9,Activity D,2020/06/15 07:25:56.681,Junior,50,normal,normal case
9,Activity U,2020/06/15 07:26:56.681,Nicholas,50,normal,normal case
9,Activity V,2020/06/15 07:27:56.681,Carrie,60,normal,normal case
9,Activity B,2020/06/15 07:29:56.681,Adam,40,normal,normal case
10,Activity A,2020/06/15 07:27:02.723,Roy,60,normal,normal case
10,Activity C,2020/06/15 07:29:02.723,Paul,50,normal,normal case
10,Activity K,2020/06/15 07:30:02.723,Richard,30,normal,normal case
10,Activity S,2020/06/15 07:31:02.723,Mick,60,normal,normal case
10,Activity L,2020/06/15 07:32:02.723,Jack,40,normal,normal case
