case,activity,timestamp,actor,resource,label,description
0,Activity A,2020/06/14 23:16:11.185,Zayn,60,normal,normal case
0,Activity C,2020/06/14 23:18:11.185,Gordon,40,normal,normal case
0,Activity M,2020/06/14 23:19:11.185,Adam,30,normal,normal case
0,Activity Q,2020/06/14 23:20:11.185,Taylor,40,normal,normal case
0,Activity N,2020/06/14 23:21:11.185,Mick,80,normal,normal case
0,Activity S,2020/06/14 23:22:11.185,Teri,20,normal,normal case
0,Activity T,2020/06/14 23:23:11.185,Vincent,90,normal,normal case
0,Activity U,2020/06/14 23:24:11.185,Nicholas,90,normal,normal case
0,Activity D,2020/06/14 23:25:11.185,Olivia,80,normal,normal case
0,Activity V,2020/06/14 23:26:11.185,Adele,30,normal,normal case
0,Activity B,2020/06/14 23:28:11.185,Amy,50,normal,normal case
1,Activity A,2020/06/15 00:43:05.389,Barney,50,normal,normal case
1,Activity C,2020/06/15 00:45:05.389,Ian,50,normal,normal case
1,Activity M,2020/06/15 00:46:05.389,Adam,60,normal,normal case
1,Activity P,2020/06/15 00:47:05.389,Jim,30,normal,normal case
1,Activity N,2020/06/15 00:48:05.389,Emil,80,normal,normal case
1,Activity D,2020/06/15 00:49:05.389,Olivia,80,normal,normal case
1,Activity S,2020/06/15 00:50:05.389,Pamela,20,normal,normal case
1,Activity T,2020/06/15 00:51:05.389,Vincent,90,normal,normal case
1,Activity U,2020/06/15 00:52:05.389,Nicholas,90,normal,normal case
1,Activity V,2020/06/15 00:53:05.389,John,80,normal,normal case
1,Activity B,2020/06/15 00:55:05.389,Isabella,50,normal,normal case
2,Activity A,2020/06/15 01:13:36.212,Michelle,60,normal,normal case
2,Activity C,2020/06/15 01:15:36.212,Ian,10,normal,normal case
2,Activity M,2020/06/15 01:16:36.212,Philip,30,normal,normal case
2,Activity O,2020/06/15 01:17:36.212,Arthur,70,normal,normal case
2,Activity N,2020/06/15 01:18:36.212,Seth,80,normal,normal case
2,Activity S,2020/06/15 01:19:36.212,Ryan,20,normal,normal case
2,Activity D,2020/06/15 01:20:36.212,Thomas,80,normal,normal case
2,Activity T,2020/06/15 01:21:36.212,Vincent,90,normal,normal case
2,Activity U,2020/06/15 01:22:36.212,Matthew,10,normal,normal case
2,Activity V,2020/06/15 01:23:36.212,Adele,30,normal,normal case
2,Activity B,2020/06/15 01:25:36.212,Isabella,30,normal,normal case
3,Activity A,2020/06/15 01:34:23.764,Zayn,10,normal,normal case
3,Activity C,2020/06/15 01:36:23.764,Gordon,20,normal,normal case
3,Activity J,2020/06/15 01:37:23.764,Willow,90,normal,normal case
3,Activity S,2020/06/15 01:38:23.764,Ryan,20,normal,normal case
3,Activity D,2020/06/15 01:39:23.764,Olivia,80,normal,normal case
3,Activity T,2020/06/15 01:40:23.764,Vincent,90,normal,normal case
3,Activity U,2020/06/15 01:41:23.764,Matthew,10,normal,normal case
3,Activity V,2020/06/15 01:42:23.764,Natalie,40,normal,normal case
3,Activity B,2020/06/15 01:44:23.764,John,10,normal,normal case
4,Activity A,2020/06/15 01:44:36.947,Michelle,50,normal,normal case
4,Activity C,2020/06/15 01:46:36.947,Steve,30,normal,normal case
4,Activity J,2020/06/15 01:47:36.947,Cameron,90,normal,normal case
4,Activity D,2020/06/15 01:48:36.947,Nicholas,80,normal,normal case
4,Activity S,2020/06/15 01:49:36.947,Ryan,20,normal,normal case
4,Activity T,2020/06/15 01:50:36.947,Vincent,90,normal,normal case
