case,activity,timestamp,actor,resource,label,description
0,Activity A,2020/06/15 00:05:58.370,Carla,50,normal,normal case
0,Activity D,2020/06/15 00:06:58.370,Harry,70,normal,normal case
0,Activity E,2020/06/15 00:07:58.370,Victoria,90,normal,normal case
0,Activity B,2020/06/15 00:08:58.370,Mick,50,normal,normal case
0,Activity F,2020/06/15 00:09:58.370,Hugo,90,normal,normal case
0,Activity I,2020/06/15 00:10:58.370,Robert,10,normal,normal case
0,Activity G,2020/06/15 00:11:58.370,Lewis,80,normal,normal case
0,Activity M,2020/06/15 00:12:58.370,Natalie,70,normal,normal case
0,Activity N,2020/06/15 00:13:58.370,Matthew,70,normal,normal case
0,Activity O,2020/06/15 00:14:58.370,Gisele,20,normal,normal case
0,Activity AK,2020/06/15 00:16:58.370,Kate,10,normal,normal case
0,Activity AL,2020/06/15 00:17:58.370,Cameron,80,normal,normal case
0,Activity AO,2020/06/15 00:18:58.370,Paul,50,normal,normal case
0,Activity AM,2020/06/15 00:19:58.370,Caitlin,80,normal,normal case
0,Activity AD,2020/06/15 00:20:58.370,Ashton,50,normal,normal case
0,Activity AN,2020/06/15 00:21:58.370,Jake,30,normal,normal case
0,Activity AE,2020/06/15 00:22:58.370,Vera,30,normal,normal case
0,Activity AF,2020/06/15 00:23:58.370,Brian,60,normal,normal case
0,Activity Q,2020/06/15 00:24:58.370,Barney,60,normal,normal case
0,Activity W,2020/06/15 00:25:58.370,Guy,50,normal,normal case
0,Activity AH,2020/06/15 00:26:58.370,Amy,30,normal,normal case
0,Activity R,2020/06/15 00:27:58.370,Henry,20,normal,normal case
0,Activity AG,2020/06/15 00:28:58.370,Roger,50,normal,normal case
0,Activity X,2020/06/15 00:29:58.370,Harper,70,normal,normal case
0,Activity AC,2020/06/15 00:30:58.370,Steve,40,normal,normal case
0,Activity Y,2020/06/15 00:31:58.370,Gordon,20,normal,normal case
0,Activity P,2020/06/15 00:33:58.370,Jake,70,normal,normal case
1,Activity A,2020/06/15 00:30:08.823,Carla,50,normal,normal case
1,Activity D,2020/06/15 00:31:08.823,Kevin,70,normal,normal case
1,Activity E,2020/06/15 00:32:08.823,Victoria,30,normal,normal case
1,Activity B,2020/06/15 00:33:08.823,Guy,50,normal,normal case
1,Activity F,2020/06/15 00:34:08.823,Vera,90,normal,normal case
1,Activity H,2020/06/15 00:35:08.823,Ben,90,normal,normal case
1,Activity G,2020/06/15 00:36:08.823,Ellen,80,normal,normal case
1,Activity M,2020/06/15 00:37:08.823,Walter,20,normal,normal case
1,Activity N,2020/06/15 00:38:08.823,Matthew,70,normal,normal case
1,Activity O,2020/06/15 00:39:08.823,Quentin,70,normal,normal case
1,Activity AD,2020/06/15 00:41:08.823,Emil,50,normal,normal case
1,Activity AE,2020/06/15 00:42:08.823,Fred,30,normal,normal case
1,Activity AK,2020/06/15 00:43:08.823,Victoria,80,normal,normal case
1,Activity AL,2020/06/15 00:44:08.823,Thomas,80,normal,normal case
1,Activity Q,2020/06/15 00:45:08.823,Ian,20,normal,normal case
1,Activity AM,2020/06/15 00:46:08.823,Caitlin,80,normal,normal case
1,Activity V,2020/06/15 00:47:08.823,Adam,80,normal,normal case
1,Activity AF,2020/06/15 00:48:08.823,Brian,20,normal,normal case
1,Activity AH,2020/06/15 00:49:08.823,Amy,30,normal,normal case
1,Activity AG,2020/06/15 00:50:08.823,Michelle,50,normal,normal case
1,Activity AO,2020/06/15 00:51:08.823,Brian,70,normal,normal case
1,Activity AN,2020/06/15 00:52:08.823,Jake,30,normal,normal case
1,Activity R,2020/06/15 00:53:08.823,Henry,40,normal,normal case
1,Activity X,2020/06/15 00:54:08.823,Daniel,70,normal,normal case
1,Activity AB,2020/06/15 00:55:08.823,Ryan,70,normal,normal case
1,Activity Y,2020/06/15 00:56:08.823,Roger,30,normal,normal case
1,Activity P,2020/06/15 00:58:08.823,Bruce,70,normal,normal case
2,Activity A,2020/06/15 00:53:02.109,Carla,50,normal,normal case
2,Activity D,2020/06/15 00:54:02.109,Harry,70,normal,normal case
2,Activity E,2020/06/15 00:55:02.109,Sacha,10,normal,normal case
2,Activity B,2020/06/15 00:56:02.109,Owen,50,normal,normal case
2,Activity F,2020/06/15 00:57:02.109,Gordon,90,normal,normal case
2,Activity L,2020/06/15 00:58:02.109,Seth,40,normal,normal case
2,Activity G,2020/06/15 00:59:02.109,Lewis,30,normal,normal case
2,Activity M,2020/06/15 01:00:02.109,Quentin,40,normal,normal case
2,Activity N,2020/06/15 01:01:02.109,Sam,70,normal,normal case
2,Activity O,2020/06/15 01:02:02.109,Quentin,20,normal,normal case
2,Activity AD,2020/06/15 01:04:02.109,Kevin,50,normal,normal case
2,Activity Q,2020/06/15 01:05:02.109,Zach,60,normal,normal case
2,Activity V,2020/06/15 01:06:02.109,Lance,80,normal,normal case
2,Activity R,2020/06/15 01:07:02.109,Ryan,40,normal,normal case
2,Activity AE,2020/06/15 01:08:02.109,Fred,30,normal,normal case
2,Activity AF,2020/06/15 01:09:02.109,Brian,80,normal,normal case
2,Activity AJ,2020/06/15 01:10:02.109,Ryan,40,normal,normal case
