case,activity,timestamp,actor,resource,label,description
0,Activity A,2020/06/15 00:01:29.098,Olivia,50,normal,normal case
0,Activity D,2020/06/15 00:02:29.098,Vincent,60,normal,normal case
0,Activity E,2020/06/15 00:03:29.098,Dwight,70,normal,normal case
0,Activity B,2020/06/15 00:04:29.098,Olivia,30,normal,normal case
0,Activity F,2020/06/15 00:05:29.098,Larry,60,normal,normal case
0,Activity K,2020/06/15 00:06:29.098,Zayn,40,normal,normal case
0,Activity G,2020/06/15 00:07:29.098,Guy,30,normal,normal case
0,Activity M,2020/06/15 00:08:29.098,Kevin,30,normal,normal case
0,Activity N,2020/06/15 00:09:29.098,Olivia,70,normal,normal case
0,Activity O,2020/06/15 00:10:29.098,Gerald,10,normal,normal case
0,Activity AO,2020/06/15 00:12:29.098,Chris,60,normal,normal case
0,Activity AD,2020/06/15 00:13:29.098,Taylor,20,normal,normal case
0,Activity AK,2020/06/15 00:14:29.098,Hugo,30,normal,normal case
0,Activity AL,2020/06/15 00:15:29.098,Laura,50,normal,normal case
0,Activity AE,2020/06/15 00:16:29.098,Owen,80,normal,normal case
0,Activity Q,2020/06/15 00:17:29.098,Henry,80,normal,normal case
0,Activity U,2020/06/15 00:18:29.098,Zayn,20,normal,normal case
0,Activity R,2020/06/15 00:19:29.098,Dwight,50,normal,normal case
0,Activity X,2020/06/15 00:20:29.098,Hugo,10,normal,normal case
0,Activity AM,2020/06/15 00:21:29.098,Malcolm,60,normal,normal case
0,Activity AN,2020/06/15 00:22:29.098,Larry,30,normal,normal case
0,Activity AB,2020/06/15 00:23:29.098,Wayne,20,normal,normal case
0,Activity Y,2020/06/15 00:24:29.098,Vera,50,normal,normal case
0,Activity AF,2020/06/15 00:25:29.098,Ed,80,normal,normal case
0,Activity AJ,2020/06/15 00:26:29.098,Ryan,10,normal,normal case
0,Activity AG,2020/06/15 00:27:29.098,Robert,50,normal,normal case
0,Activity P,2020/06/15 00:29:29.098,Olivia,70,normal,normal case
1,Activity A,2020/06/15 00:11:07.021,Olivia,60,normal,normal case
1,Activity C,2020/06/15 00:12:07.021,Ashton,40,normal,normal case
1,Activity B,2020/06/15 00:13:07.021,Gordon,30,normal,normal case
1,Activity F,2020/06/15 00:14:07.021,Pamela,80,normal,normal case
1,Activity L,2020/06/15 00:15:07.021,Zayn,80,normal,normal case
1,Activity G,2020/06/15 00:16:07.021,Orlando,30,normal,normal case
1,Activity M,2020/06/15 00:17:07.021,Anna,30,normal,normal case
1,Activity N,2020/06/15 00:18:07.021,Olivia,70,normal,normal case
1,Activity O,2020/06/15 00:19:07.021,Carla,80,normal,normal case
1,Activity Q,2020/06/15 00:21:07.021,Karl,10,normal,normal case
1,Activity V,2020/06/15 00:22:07.021,Vanessa,30,normal,normal case
1,Activity AO,2020/06/15 00:23:07.021,Will,40,normal,normal case
1,Activity AD,2020/06/15 00:24:07.021,Taylor,20,normal,normal case
1,Activity AK,2020/06/15 00:25:07.021,Michelle,30,normal,normal case
1,Activity AE,2020/06/15 00:26:07.021,Owen,80,normal,normal case
1,Activity AF,2020/06/15 00:27:07.021,Ed,80,normal,normal case
1,Activity R,2020/06/15 00:28:07.021,Zayn,50,normal,normal case
1,Activity AJ,2020/06/15 00:29:07.021,David,10,normal,normal case
1,Activity AL,2020/06/15 00:30:07.021,Laura,50,normal,normal case
1,Activity AG,2020/06/15 00:31:07.021,John,50,normal,normal case
1,Activity AM,2020/06/15 00:32:07.021,Malcolm,60,normal,normal case
1,Activity X,2020/06/15 00:33:07.021,Vanessa,10,normal,normal case
1,Activity AA,2020/06/15 00:34:07.021,Bruce,10,normal,normal case
1,Activity AN,2020/06/15 00:35:07.021,Larry,30,normal,normal case
1,Activity Y,2020/06/15 00:36:07.021,Bruce,60,normal,normal case
1,Activity P,2020/06/15 00:38:07.021,Olivia,70,normal,normal case
2,Activity A,2020/06/15 00:34:37.276,Rachel,50,normal,normal case
2,Activity D,2020/06/15 00:35:37.276,Vincent,40,normal,normal case
2,Activity E,2020/06/15 00:36:37.276,Dwight,40,normal,normal case
2,Activity B,2020/06/15 00:37:37.276,David,30,normal,normal case
2,Activity F,2020/06/15 00:38:37.276,Larry,60,normal,normal case
2,Activity K,2020/06/15 00:39:37.276,Ulysses,40,normal,normal case
2,Activity G,2020/06/15 00:40:37.276,Guy,30,normal,normal case
2,Activity M,2020/06/15 00:41:37.276,Lewis,30,normal,normal case
2,Activity N,2020/06/15 00:42:37.276,Karl,70,normal,normal case
2,Activity O,2020/06/15 00:43:37.276,Lance,80,normal,normal case
2,Activity AK,2020/06/15 00:45:37.276,Victoria,80,normal,normal case
