case,activity,timestamp,actor,resource,label,description
0,Activity A,2020/06/15 01:11:41.495,Amanda,80,normal,normal case
0,Activity C,2020/06/15 01:13:41.495,Roger,30,normal,normal case
0,Activity X,2020/06/15 01:15:41.495,Rachel,40,normal,normal case
0,Activity AE,2020/06/15 01:16:41.495,Harper,30,normal,normal case
0,Activity AM,2020/06/15 01:17:41.495,Vincent,60,normal,normal case
0,Activity AO,2020/06/15 01:18:41.495,Vera,20,normal,normal case
0,Activity E,2020/06/15 01:19:41.495,Ben,90,normal,normal case
0,Activity AN,2020/06/15 01:20:41.495,Chris,80,normal,normal case
0,Activity AG,2020/06/15 01:22:41.495,Robert,40,normal,normal case
0,Activity AI,2020/06/15 01:23:41.495,Oscar,90,normal,normal case
0,Activity AJ,2020/06/15 01:24:41.495,Wallace,60,normal,normal case
0,Activity AR,2020/06/15 01:25:41.495,Roger,60,normal,normal case
0,Activity AT,2020/06/15 01:26:41.495,Ryan,70,normal,normal case
0,Activity AU,2020/06/15 01:28:41.495,Isabella,80,normal,normal case
0,Activity AH,2020/06/15 01:29:41.495,Ian,50,normal,normal case
0,Activity BB,2020/06/15 01:32:41.495,Karl,50,normal,normal case
0,Activity BD,2020/06/15 01:33:41.495,Megan,40,normal,normal case
0,Activity G,2020/06/15 01:34:41.495,Willow,50,normal,normal case
0,Activity H,2020/06/15 01:35:41.495,Adam,60,normal,normal case
0,Activity AS,2020/06/15 01:36:41.495,Dwight,80,normal,normal case
0,Activity K,2020/06/15 01:37:41.495,Wayne,50,normal,normal case
0,Activity O,2020/06/15 01:38:41.495,Ian,10,normal,normal case
0,Activity AF,2020/06/15 01:39:41.495,Kate,10,normal,normal case
0,Activity I,2020/06/15 01:40:41.495,Ian,10,normal,normal case
0,Activity BE,2020/06/15 01:41:41.495,Adele,40,normal,normal case
0,Activity P,2020/06/15 01:42:41.495,Stanley,90,normal,normal case
0,Activity AW,2020/06/15 01:43:41.495,Donald,10,normal,normal case
0,Activity AZ,2020/06/15 01:45:41.495,Hannah,90,normal,normal case
0,Activity BC,2020/06/15 01:46:41.495,John,80,normal,normal case
0,Activity BA,2020/06/15 01:47:41.495,Megan,70,normal,normal case
0,Activity J,2020/06/15 01:48:41.495,Fadi,20,normal,normal case
0,Activity Y,2020/06/15 01:49:41.495,Malcolm,10,normal,normal case
0,Activity L,2020/06/15 01:50:41.495,Fadi,30,normal,normal case
0,Activity F,2020/06/15 01:52:41.495,Anna,90,normal,normal case
0,Activity D,2020/06/15 01:54:41.495,Kate,10,normal,normal case
0,Activity AY,2020/06/15 01:55:41.495,Sacha,10,normal,normal case
0,Activity AX,2020/06/15 01:57:41.495,Daniel,60,normal,normal case
0,Activity AV,2020/06/15 01:59:41.495,Michelle,20,normal,normal case
0,Activity B,2020/06/15 02:01:41.495,Nicholas,10,normal,normal case
0,Activity BF,2020/06/15 02:02:41.495,Gerald,60,normal,normal case
0,Activity BG,2020/06/15 02:03:41.495,Vanessa,20,normal,normal case
0,Activity BH,2020/06/15 02:04:41.495,Uma,30,normal,normal case
0,Activity BI,2020/06/15 02:05:41.495,Gisele,50,normal,normal case
0,Activity BJ,2020/06/15 02:06:41.495,Ashton,60,normal,normal case
0,Activity BK,2020/06/15 02:07:41.495,Roy,60,normal,normal case
0,Activity BL,2020/06/15 02:08:41.495,Stanley,50,normal,normal case
