case,activity,timestamp,actor,resource,label,description
0,Activity A,2020/06/15 01:07:04.737,Ulysses,40,normal,Normal case
0,Activity AT,2020/06/15 01:09:04.737,Michelle,60,normal,Normal case
0,Activity AU,2020/06/15 01:10:04.737,Ashton,50,normal,Normal case
0,Activity C,2020/06/15 01:11:04.737,Adam,30,normal,Normal case
0,Activity BD,2020/06/15 01:13:04.737,Junior,90,normal,Normal case
0,Activity AW,2020/06/15 01:14:04.737,Carrie,60,normal,Normal case
0,Activity BE,2020/06/15 01:15:04.737,Ben,60,normal,Normal case
0,Activity BB,2020/06/15 01:17:04.737,Paul,60,normal,Normal case
0,Activity AY,2020/06/15 01:18:04.737,Victoria,10,normal,Normal case
0,Activity BA,2020/06/15 01:19:04.737,Roy,50,normal,Normal case
0,Activity AM,2020/06/15 01:21:04.737,Barry,20,normal,Normal case
0,Activity AQ,2020/06/15 01:22:04.737,Uma,70,normal,Normal case
0,Activity BC,2020/06/15 01:23:04.737,Vincent,10,normal,Normal case
0,Activity X,2020/06/15 01:24:04.737,Oscar,50,normal,Normal case
0,Activity AE,2020/06/15 01:25:04.737,Kevin,70,normal,Normal case
0,Activity AJ,2020/06/15 01:27:04.737,Zoe,20,normal,Normal case
0,Activity AN,2020/06/15 01:28:04.737,Isabella,10,normal,Normal case
0,Activity AG,2020/06/15 01:29:04.737,Ben,90,normal,Normal case
0,Activity AH,2020/06/15 01:30:04.737,Roy,70,normal,Normal case
0,Activity AI,2020/06/15 01:31:04.737,Zoe,20,normal,Normal case
0,Activity AZ,2020/06/15 01:32:04.737,Emil,40,normal,Normal case
0,Activity E,2020/06/15 01:34:04.737,Harper,60,normal,Normal case
0,Activity K,2020/06/15 01:35:04.737,Paris,80,normal,Normal case
0,Activity Q,2020/06/15 01:38:04.737,Guy,20,normal,Normal case
0,Activity G,2020/06/15 01:39:04.737,Harry,50,normal,Normal case
0,Activity AF,2020/06/15 01:40:04.737,Megan,40,normal,Normal case
0,Activity I,2020/06/15 01:41:04.737,Isabella,10,normal,Normal case
0,Activity R,2020/06/15 01:42:04.737,Jack,50,normal,Normal case
0,Activity AX,2020/06/15 01:43:04.737,Steve,70,normal,Normal case
0,Activity J,2020/06/15 01:44:04.737,Carrie,30,normal,Normal case
0,Activity H,2020/06/15 01:45:04.737,David,50,normal,Normal case
0,Activity L,2020/06/15 01:47:04.737,Teri,50,normal,Normal case
0,Activity AV,2020/06/15 01:48:04.737,Kevin,90,normal,Normal case
0,Activity AR,2020/06/15 01:49:04.737,Steve,70,normal,Normal case
0,Activity AS,2020/06/15 01:50:04.737,Ryan,30,normal,Normal case
0,Activity Y,2020/06/15 01:52:04.737,Brian,80,normal,Normal case
0,Activity F,2020/06/15 01:53:04.737,Zoe,10,normal,Normal case
0,Activity D,2020/06/15 01:55:04.737,Oscar,10,normal,Normal case
0,Activity B,2020/06/15 01:57:04.737,Teri,70,normal,Normal case
0,Activity BF,2020/06/15 01:58:04.737,Caitlin,60,normal,Normal case
0,Activity BG,2020/06/15 01:59:04.737,Ed,10,normal,Normal case
0,Activity BH,2020/06/15 02:00:04.737,Hugo,60,normal,Normal case
0,Activity BI,2020/06/15 02:01:04.737,Emil,70,normal,Normal case
0,Activity BJ,2020/06/15 02:02:04.737,Roger,90,normal,Normal case
0,Activity BK,2020/06/15 02:03:04.737,Carla,20,normal,Normal case
0,Activity BL,2020/06/15 02:04:04.737,Laura,20,normal,Normal case
1,Activity A,2020/06/15 01:39:13.010,Zach,60,normal,Normal case
1,Activity C,2020/06/15 01:41:13.010,Zoe,30,normal,Normal case
1,Activity K,2020/06/15 01:43:13.010,Henry,80,normal,Normal case
1,Activity O,2020/06/15 01:44:13.010,Ashton,60,normal,Normal case
1,Activity AM,2020/06/15 01:45:13.010,Adam,20,normal,Normal case
1,Activity AQ,2020/06/15 01:46:13.010,Karl,70,normal,Normal case
1,Activity E,2020/06/15 01:47:13.010,Junior,60,normal,Normal case
1,Activity P,2020/06/15 01:48:13.010,Harry,70,normal,Normal case
1,Activity L,2020/06/15 01:49:13.010,Teri,60,normal,Normal case
1,Activity X,2020/06/15 01:50:13.010,Donald,20,normal,Normal case
1,Activity Z,2020/06/15 01:51:13.010,Kevin,80,normal,Normal case
1,Activity G,2020/06/15 01:53:13.010,Isabella,70,normal,Normal case
1,Activity AD,2020/06/15 01:54:13.010,Uma,60,normal,Normal case
1,Activity AT,2020/06/15 01:55:13.010,Willow,60,normal,Normal case
1,Activity AA,2020/06/15 01:56:13.010,Owen,50,normal,Normal case
1,Activity I,2020/06/15 01:57:13.010,David,90,normal,Normal case
1,Activity AU,2020/06/15 01:58:13.010,Vera,80,normal,Normal case
1,Activity H,2020/06/15 01:59:13.010,Ulysses,10,normal,Normal case
1,Activity AN,2020/06/15 02:00:13.010,Daniel,70,normal,Normal case
1,Activity AR,2020/06/15 02:01:13.010,Steve,50,normal,Normal case
1,Activity J,2020/06/15 02:02:13.010,Carrie,30,normal,Normal case
1,Activity AS,2020/06/15 02:04:13.010,Junior,50,normal,Normal case
1,Activity BB,2020/06/15 02:05:13.010,John,60,normal,Normal case
1,Activity BC,2020/06/15 02:06:13.010,Vincent,90,normal,Normal case
1,Activity Y,2020/06/15 02:07:13.010,Walter,70,normal,Normal case
1,Activity AW,2020/06/15 02:08:13.010,Paris,90,normal,Normal case
1,Activity F,2020/06/15 02:10:13.010,Roy,80,normal,Normal case
1,Activity D,2020/06/15 02:13:13.010,Cameron,20,normal,Normal case
1,Activity BD,2020/06/15 02:14:13.010,Junior,90,normal,Normal case
1,Activity AY,2020/06/15 02:15:13.010,Victoria,80,normal,Normal case
1,Activity BA,2020/06/15 02:16:13.010,Brian,90,normal,Normal case
1,Activity AZ,2020/06/15 02:17:13.010,Matthew,60,normal,Normal case
1,Activity AX,2020/06/15 02:19:13.010,Steve,70,normal,Normal case
1,Activity BE,2020/06/15 02:20:13.010,Naomi,60,normal,Normal case
