case,activity,timestamp,actor,resource,label,description
0,Activity A,2020/06/15 02:05:49.231,Jake,70,normal,normal case
0,Activity BC,2020/06/15 02:06:49.231,Harper,60,normal,normal case
0,Activity BH,2020/06/15 02:08:49.231,Amanda,40,normal,normal case
0,Activity BE,2020/06/15 02:09:49.231,Donald,70,normal,normal case
0,Activity BN,2020/06/15 02:10:49.231,Henry,20,normal,normal case
0,Activity BI,2020/06/15 02:11:49.231,Wayne,10,normal,normal case
0,Activity BO,2020/06/15 02:12:49.231,Robert,40,normal,normal case
0,Activity BF,2020/06/15 02:13:49.231,Carrie,70,normal,normal case
0,Activity BP,2020/06/15 02:15:49.231,Barney,40,normal,normal case
0,Activity BL,2020/06/15 02:16:49.231,Barney,70,normal,normal case
0,Activity BM,2020/06/15 02:17:49.231,Jake,90,normal,normal case
0,Activity BK,2020/06/15 02:18:49.231,Ryan,40,normal,normal case
0,Activity BQ,2020/06/15 02:19:49.231,Wallace,30,normal,normal case
0,Activity BG,2020/06/15 02:21:49.231,Ian,60,normal,normal case
0,Activity BJ,2020/06/15 02:22:49.231,Junior,80,normal,normal case
0,Activity BD,2020/06/15 02:24:49.231,Roy,20,normal,normal case
0,Activity BR,2020/06/15 02:25:49.231,Gordon,70,normal,normal case
0,Activity BX,2020/06/15 02:27:49.231,Daniel,90,normal,normal case
0,Activity BV,2020/06/15 02:28:49.231,Denzel,20,normal,normal case
0,Activity BZ,2020/06/15 02:29:49.231,Arthur,90,normal,normal case
0,Activity BW,2020/06/15 02:30:49.231,Carla,20,normal,normal case
0,Activity BY,2020/06/15 02:31:49.231,Victoria,70,normal,normal case
0,Activity BT,2020/06/15 02:32:49.231,Stanley,10,normal,normal case
0,Activity BU,2020/06/15 02:33:49.231,Olivia,60,normal,normal case
0,Activity BS,2020/06/15 02:35:49.231,Megan,40,normal,normal case
0,Activity B,2020/06/15 02:36:49.231,Michelle,80,normal,normal case
1,Activity A,2020/06/15 02:53:33.635,Barney,70,normal,normal case
1,Activity C,2020/06/15 02:54:33.635,John,30,normal,normal case
1,Activity AI,2020/06/15 02:56:33.635,David,10,normal,normal case
1,Activity AL,2020/06/15 02:57:33.635,Roy,60,normal,normal case
1,Activity AO,2020/06/15 02:58:33.635,Adam,20,normal,normal case
1,Activity AM,2020/06/15 02:59:33.635,Matthew,10,normal,normal case
1,Activity AJ,2020/06/15 03:00:33.635,Chris,40,normal,normal case
1,Activity E,2020/06/15 03:01:33.635,Malcolm,50,normal,normal case
1,Activity Q,2020/06/15 03:02:33.635,Donald,20,normal,normal case
1,Activity Z,2020/06/15 03:03:33.635,Walter,70,normal,normal case
1,Activity AA,2020/06/15 03:05:33.635,Frank,20,normal,normal case
1,Activity R,2020/06/15 03:06:33.635,Mick,90,normal,normal case
1,Activity G,2020/06/15 03:07:33.635,Lance,90,normal,normal case
1,Activity K,2020/06/15 03:08:33.635,Michelle,30,normal,normal case
1,Activity O,2020/06/15 03:09:33.635,Sam,70,normal,normal case
1,Activity N,2020/06/15 03:10:33.635,Hugo,40,normal,normal case
1,Activity H,2020/06/15 03:11:33.635,Malcolm,80,normal,normal case
1,Activity M,2020/06/15 03:12:33.635,Adele,80,normal,normal case
1,Activity P,2020/06/15 03:13:33.635,Zach,60,normal,normal case
1,Activity F,2020/06/15 03:15:33.635,Olivia,50,normal,normal case
1,Activity D,2020/06/15 03:17:33.635,Ryan,80,normal,normal case
1,Activity B,2020/06/15 03:18:33.635,Michelle,80,normal,normal case
2,Activity A,2020/06/15 02:54:21.655,Jake,40,normal,normal case
2,Activity CD,2020/06/15 02:55:21.655,Sam,20,normal,normal case
2,Activity CE,2020/06/15 02:56:21.655,Laura,70,normal,normal case
2,Activity B,2020/06/15 02:57:21.655,Michelle,80,normal,normal case
3,Activity A,2020/06/15 03:53:40.806,Barney,70,early,Activity B was originally executed at position 4 and changed to position 2
3,Activity B,2020/06/15 03:54:40.806,Chris,80,early,Activity B was originally executed at position 4 and changed to position 2
3,Activity CD,2020/06/15 03:55:40.806,Hugo,20,early,Activity B was originally executed at position 4 and changed to position 2
3,Activity CE,2020/06/15 03:56:40.806,Amy,70,early,Activity B was originally executed at position 4 and changed to position 2
4,Activity A,2020/06/15 04:29:57.335,Barney,40,normal,normal case
4,Activity AP,2020/06/15 04:30:57.335,Mick,70,normal,normal case
4,Activity AQ,2020/06/15 04:31:57.335,Harry,10,normal,normal case
4,Activity AS,2020/06/15 04:32:57.335,Gisele,80,normal,normal case
4,Activity AT,2020/06/15 04:33:57.335,Kelly,60,normal,normal case
4,Activity AR,2020/06/15 04:34:57.335,Amy,40,normal,normal case
4,Activity B,2020/06/15 04:35:57.335,Chris,80,normal,normal case
5,Activity A,2020/06/15 04:35:16.117,Jake,70,normal,normal case
5,Activity C,2020/06/15 04:36:16.117,Karl,30,normal,normal case
5,Activity Q,2020/06/15 04:38:16.117,Donald,20,normal,normal case
5,Activity Z,2020/06/15 04:39:16.117,Walter,70,normal,normal case
5,Activity AI,2020/06/15 04:40:16.117,David,40,normal,normal case
5,Activity AL,2020/06/15 04:41:16.117,Victoria,60,normal,normal case
5,Activity AO,2020/06/15 04:42:16.117,Ryan,30,normal,normal case
5,Activity E,2020/06/15 04:43:16.117,Drew,50,normal,normal case
5,Activity AM,2020/06/15 04:44:16.117,Uma,80,normal,normal case
5,Activity M,2020/06/15 04:46:16.117,Adele,80,normal,normal case
5,Activity N,2020/06/15 04:47:16.117,Elizabeth,80,normal,normal case
5,Activity AJ,2020/06/15 04:48:16.117,Roger,60,normal,normal case
5,Activity P,2020/06/15 04:49:16.117,Kevin,60,normal,normal case
5,Activity G,2020/06/15 04:50:16.117,Guy,40,normal,normal case
5,Activity L,2020/06/15 04:51:16.117,Caitlin,50,normal,normal case
5,Activity O,2020/06/15 04:52:16.117,Sam,70,normal,normal case
5,Activity H,2020/06/15 04:53:16.117,Malcolm,80,normal,normal case
5,Activity F,2020/06/15 04:55:16.117,Carla,80,normal,normal case
5,Activity AA,2020/06/15 04:56:16.117,Steve,20,normal,normal case
5,Activity R,2020/06/15 04:57:16.117,Thomas,90,normal,normal case
5,Activity D,2020/06/15 04:59:16.117,Ryan,80,normal,normal case
5,Activity B,2020/06/15 05:00:16.117,Chris,80,normal,normal case
6,Activity A,2020/06/15 04:35:52.253,Jake,70,normal,normal case
6,Activity C,2020/06/15 04:36:52.253,Karl,30,normal,normal case
6,Activity Q,2020/06/15 04:38:52.253,Donald,80,normal,normal case
6,Activity Z,2020/06/15 04:39:52.253,Ulysses,90,normal,normal case
6,Activity E,2020/06/15 04:40:52.253,Hugo,20,normal,normal case
6,Activity AA,2020/06/15 04:41:52.253,Anna,20,normal,normal case
6,Activity O,2020/06/15 04:43:52.253,Sam,30,normal,normal case
6,Activity AI,2020/06/15 04:44:52.253,Fadi,10,normal,normal case
6,Activity AK,2020/06/15 04:45:52.253,Ed,70,normal,normal case
6,Activity N,2020/06/15 04:46:52.253,Elizabeth,90,normal,normal case
6,Activity AJ,2020/06/15 04:47:52.253,Roger,10,normal,normal case
6,Activity M,2020/06/15 04:48:52.253,Adele,20,normal,normal case
6,Activity R,2020/06/15 04:49:52.253,Denzel,90,normal,normal case
6,Activity G,2020/06/15 04:50:52.253,Lance,40,normal,normal case
6,Activity I,2020/06/15 04:51:52.253,Cameron,30,normal,normal case
6,Activity P,2020/06/15 04:52:52.253,Zach,20,normal,normal case
6,Activity H,2020/06/15 04:53:52.253,Malcolm,80,normal,normal case
6,Activity F,2020/06/15 04:55:52.253,Anna,30,normal,normal case
6,Activity D,2020/06/15 04:57:52.253,Ryan,30,normal,normal case
6,Activity B,2020/06/15 04:58:52.253,Chris,80,normal,normal case
7,Activity A,2020/06/15 04:50:21.427,Barney,40,normal,normal case
7,Activity C,2020/06/15 04:51:21.427,John,30,normal,normal case
7,Activity Q,2020/06/15 04:53:21.427,Emil,20,normal,normal case
7,Activity AG,2020/06/15 04:54:21.427,Orlando,20,normal,normal case
7,Activity E,2020/06/15 04:55:21.427,Hugo,50,normal,normal case
7,Activity AH,2020/06/15 04:56:21.427,Lewis,80,normal,normal case
7,Activity AI,2020/06/15 04:57:21.427,Roger,10,normal,normal case
7,Activity R,2020/06/15 04:58:21.427,Thomas,90,normal,normal case
7,Activity AK,2020/06/15 04:59:21.427,Pamela,60,normal,normal case
7,Activity M,2020/06/15 05:01:21.427,Adele,80,normal,normal case
7,Activity O,2020/06/15 05:02:21.427,Sam,70,normal,normal case
7,Activity P,2020/06/15 05:03:21.427,Carrie,20,normal,normal case
7,Activity N,2020/06/15 05:04:21.427,Hugo,40,normal,normal case
7,Activity AJ,2020/06/15 05:05:21.427,Matthew,40,normal,normal case
7,Activity G,2020/06/15 05:06:21.427,Guy,40,normal,normal case
7,Activity K,2020/06/15 05:07:21.427,Hugo,90,normal,normal case
7,Activity H,2020/06/15 05:08:21.427,Malcolm,80,normal,normal case
7,Activity F,2020/06/15 05:10:21.427,Paul,60,normal,normal case
7,Activity D,2020/06/15 05:12:21.427,Ashton,30,normal,normal case
7,Activity B,2020/06/15 05:13:21.427,Michelle,80,normal,normal case
8,Activity A,2020/06/15 04:59:36.067,Jake,70,early,Activity B was originally executed at position 4 and changed to position 2
8,Activity B,2020/06/15 05:00:36.067,Michelle,80,early,Activity B was originally executed at position 4 and changed to position 2
8,Activity CD,2020/06/15 05:01:36.067,Nicholas,70,early,Activity B was originally executed at position 4 and changed to position 2
8,Activity CE,2020/06/15 05:02:36.067,Laura,70,early,Activity B was originally executed at position 4 and changed to position 2
9,Activity A,2020/06/15 05:47:55.672,Jake,70,normal,normal case
9,Activity C,2020/06/15 05:48:55.672,Gisele,30,normal,normal case
