case,activity,timestamp,actor,resource,label,description
0,Activity A,2020/06/15 03:19:17.875,Matthew,30,normal,normal case
0,Activity AR,2020/06/15 03:20:17.875,Orlando,10,normal,normal case
0,Activity BV,2020/06/15 03:21:17.875,Barney,10,normal,normal case
0,Activity CA,2020/06/15 03:23:17.875,Uma,80,normal,normal case
0,Activity CG,2020/06/15 03:25:17.875,Lewis,10,normal,normal case
0,Activity CH,2020/06/15 03:26:17.875,Sam,70,normal,normal case
0,Activity BZ,2020/06/15 03:27:17.875,Gordon,70,normal,normal case
0,Activity BX,2020/06/15 03:28:17.875,Pamela,50,normal,normal case
0,Activity CD,2020/06/15 03:29:17.875,Anna,60,normal,normal case
0,Activity CC,2020/06/15 03:30:17.875,Ian,50,normal,normal case
0,Activity CE,2020/06/15 03:31:17.875,Gerald,40,normal,normal case
0,Activity BY,2020/06/15 03:32:17.875,Owen,90,normal,normal case
0,Activity CF,2020/06/15 03:33:17.875,Barry,60,normal,normal case
0,Activity CB,2020/06/15 03:35:17.875,Zach,70,normal,normal case
0,Activity BW,2020/06/15 03:37:17.875,Naomi,50,normal,normal case
0,Activity AS,2020/06/15 03:38:17.875,Will,80,normal,normal case
0,Activity CI,2020/06/15 03:39:17.875,Jack,20,normal,normal case
0,Activity CQ,2020/06/15 03:41:17.875,Lewis,10,normal,normal case
0,Activity CK,2020/06/15 03:42:17.875,Michelle,90,normal,normal case
0,Activity CR,2020/06/15 03:44:17.875,Fadi,70,normal,normal case
0,Activity CO,2020/06/15 03:45:17.875,Daniel,60,normal,normal case
0,Activity CP,2020/06/15 03:46:17.875,Kelly,80,normal,normal case
0,Activity CM,2020/06/15 03:47:17.875,Jim,60,normal,normal case
0,Activity CN,2020/06/15 03:48:17.875,Steve,80,normal,normal case
0,Activity CL,2020/06/15 03:50:17.875,Taylor,90,normal,normal case
0,Activity CJ,2020/06/15 03:52:17.875,Zayn,10,normal,normal case
0,Activity CS,2020/06/15 03:53:17.875,Taylor,90,normal,normal case
0,Activity CV,2020/06/15 03:55:17.875,Harper,60,normal,normal case
0,Activity CX,2020/06/15 03:56:17.875,Michelle,60,normal,normal case
0,Activity CW,2020/06/15 03:57:17.875,Laura,40,normal,normal case
0,Activity CU,2020/06/15 03:58:17.875,Naomi,30,normal,normal case
0,Activity CT,2020/06/15 04:00:17.875,Carrie,20,normal,normal case
0,Activity CY,2020/06/15 04:01:17.875,Megan,50,normal,normal case
0,Activity B,2020/06/15 04:02:17.875,Vanessa,80,normal,normal case
1,Activity A,2020/06/15 03:31:25.945,Teri,30,normal,normal case
1,Activity AR,2020/06/15 03:32:25.945,Teri,10,normal,normal case
1,Activity AX,2020/06/15 03:33:25.945,Fred,30,normal,normal case
1,Activity BA,2020/06/15 03:35:25.945,Larry,40,normal,normal case
1,Activity AZ,2020/06/15 03:36:25.945,Carla,90,normal,normal case
1,Activity AY,2020/06/15 03:38:25.945,Jack,40,normal,normal case
1,Activity BB,2020/06/15 03:39:25.945,Barney,40,normal,normal case
1,Activity BE,2020/06/15 03:41:25.945,Harry,50,normal,normal case
1,Activity BH,2020/06/15 03:42:25.945,Olivia,60,normal,normal case
1,Activity BF,2020/06/15 03:43:25.945,Denzel,30,normal,normal case
