log,encoding,accuracy,accuracy_balanced,f1_binary,f1_micro,f1_macro,f1_weighted,precision_binary,precision_micro,precision_macro,precision_weighted,recall_binary,recall_micro,recall_macro,recall_weighted,time,mem_rf,mem_encoding,mem_labels,mem_total
scenario1_1000_all_0.1,alignment,0.9169999999999999,0.27563993464750725,,0.9169999999999999,0.2874602436794282,0.8909598557507069,,0.9169999999999999,0.3453160968420332,0.8732149564087616,,0.9169999999999999,0.2704767508733503,0.9169999999999999,0.26954914728800455,90284.26666666666,248769.06666666668,8439.0,347492.3333333333
scenario1_1000_all_0.1,countvectorizer,0.9195000000000003,0.30683012093726375,,0.9195000000000003,0.33254324511500355,0.8853401156153063,,0.9195000000000003,0.40618533647672234,0.8614675887259562,,0.9195000000000003,0.30683012093726375,0.9195000000000003,0.2555941184361776,90282.53333333334,1431059.2,8439.0,1529780.7333333334
scenario1_1000_all_0.1,fasttext,0.932,0.43035525321239615,,0.932,0.4295382441703296,0.906264132962249,,0.932,0.4649876407350091,0.8873225797145757,,0.932,0.43035525321239615,0.932,0.2880224386850993,90284.8,1688233.6,8439.0,1786957.4
scenario1_1000_all_0.1,hashvectorizer,0.9423333333333332,0.5040570672713529,,0.9423333333333332,0.5089681507316072,0.9185891943477582,,0.9423333333333332,0.5402238260422363,0.8996552082738744,,0.9423333333333332,0.5040570672713529,0.9423333333333332,0.2625770409901937,90287.2,4183812.2666666666,8439.0,4282538.466666667
scenario1_1000_all_0.1,node2vec,0.9238333333333334,0.3427910052910053,,0.9238333333333334,0.33623836324836404,0.8977346129691014,,0.9238333333333334,0.3794996162532644,0.8806103096566866,,0.9238333333333334,0.33861111111111114,0.9238333333333334,0.2942577600479126,90278.53333333334,4183926.4,8439.0,4282643.933333334
scenario1_1000_all_0.1,node2vecedges,0.9168333333333334,0.32669271541187644,,0.9168333333333334,0.32313755458876126,0.8901993514573491,,0.9168333333333334,0.397832524994576,0.876180780006157,,0.9168333333333334,0.3165430941760279,0.9168333333333334,0.4819777568181356,90284.26666666666,4184667.7333333334,8439.0,4283391.0
scenario1_1000_all_0.1,onehot,0.9076666666666668,0.20142857142857148,,0.9076666666666668,0.21395122374574116,0.8671803415290975,,0.9076666666666668,0.26662188190663266,0.8379566703658762,,0.9076666666666668,0.20142857142857148,0.9076666666666668,0.2567828098932902,90287.46666666666,1432795.7333333334,8439.0,1531522.2
scenario1_1000_all_0.1,tfidfvectorizer,0.9431666666666666,0.5117809901738474,,0.9431666666666666,0.5228861372843422,0.9192572393486279,,0.9431666666666666,0.5533633790717815,0.8995126840076186,,0.9431666666666666,0.5117809901738474,0.9431666666666666,0.25608617464701333,90281.86666666667,1432812.8,8439.0,1531533.6666666667
scenario1_1000_all_0.1,tokenreplay,0.9168333333333335,0.29460600907029477,,0.9168333333333335,0.2999674665175588,0.8860664369493101,,0.9168333333333335,0.32906319602304873,0.8602274067883713,,0.9168333333333335,0.29050170068027203,0.9168333333333335,0.25290393829345703,90289.06666666667,216164.0,8439.0,314892.06666666665
scenario1_1000_all_0.1,word2vec,0.9231666666666668,0.3219935752078609,,0.9231666666666668,0.3086390823888561,0.8969006455507943,,0.9231666666666668,0.3433888432267633,0.8780074501441523,,0.9231666666666668,0.31908352229780795,0.9231666666666668,0.2942280054092407,90262.0,3288616.533333333,8439.0,3387317.533333333
